metabolite,subset,n,beta,se,p,q_FDR,Q,Q_df,I2_pct
theobromine,all,39,-0.00041,0.00468,9.305e-01,9.305e-01,98.6,38,61
theobromine,M,5,-0.04587,0.01789,1.036e-02,,20.8,4,81
theobromine,A,7,0.02137,0.00696,2.149e-03,,5.7,6,0
theobromine,O,27,0.00312,0.00361,3.876e-01,,27.8,26,6
theophylline,all,39,-0.00208,0.00298,4.850e-01,7.128e-01,31.3,38,0
theophylline,M,5,-0.00986,0.00805,2.205e-01,,1.0,4,0
theophylline,A,7,0.00431,0.00906,6.338e-01,,9.7,6,38
theophylline,O,27,-0.00215,0.00358,5.487e-01,,18.9,26,0
paraxanthine,all,39,-0.00100,0.00550,8.564e-01,9.305e-01,129.9,38,71
paraxanthine,M,5,-0.00182,0.03821,9.620e-01,,90.4,4,96
paraxanthine,A,7,0.01282,0.00713,7.213e-02,,3.5,6,0
paraxanthine,O,27,-0.00432,0.00394,2.726e-01,,31.4,26,17
3-methylxanthine,all,39,0.00980,0.00416,1.863e-02,8.384e-02,78.2,38,51
3-methylxanthine,M,5,0.03807,0.02011,5.836e-02,,26.3,4,85
3-methylxanthine,A,7,0.01455,0.00859,9.014e-02,,9.1,6,34
3-methylxanthine,O,27,0.00299,0.00349,3.916e-01,,25.6,26,0
7-methylxanthine,all,39,0.01145,0.00445,1.008e-02,8.384e-02,87.4,38,57
7-methylxanthine,M,5,0.03526,0.02450,1.500e-01,,38.2,4,90
7-methylxanthine,A,7,0.02413,0.00703,6.029e-04,,4.3,6,0
7-methylxanthine,O,27,0.00352,0.00364,3.339e-01,,27.7,26,6
"1,7-dimethyluric acid",all,39,0.00291,0.00394,4.601e-01,7.128e-01,68.3,38,44
"1,7-dimethyluric acid",M,5,0.02667,0.01489,7.325e-02,,14.0,4,71
"1,7-dimethyluric acid",A,7,0.00515,0.00867,5.526e-01,,9.1,6,34
"1,7-dimethyluric acid",O,27,-0.00236,0.00405,5.590e-01,,34.0,26,23
AAMU,all,39,0.00744,0.00603,2.172e-01,6.342e-01,159.5,38,76
AAMU,M,5,0.04440,0.03288,1.769e-01,,68.2,4,94
AAMU,A,7,0.01940,0.01049,6.444e-02,,13.2,6,55
AAMU,O,27,-0.00291,0.00467,5.329e-01,,45.0,26,42
xanthine,all,39,-0.00171,0.00290,5.544e-01,7.128e-01,24.3,38,0
xanthine,M,5,-0.00120,0.00936,8.978e-01,,5.7,4,30
xanthine,A,7,0.00631,0.00695,3.634e-01,,3.0,6,0
xanthine,O,27,-0.00383,0.00349,2.714e-01,,13.9,26,0
caffeine,all,39,-0.00332,0.00308,2.819e-01,6.342e-01,41.9,38,9
caffeine,M,5,-0.01366,0.00794,8.562e-02,,2.7,4,0
caffeine,A,7,0.00262,0.00923,7.769e-01,,10.3,6,42
caffeine,O,27,-0.00277,0.00356,4.371e-01,,26.4,26,2
